frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
57,5.0,[1103.8432041710464 634.0906176578698 1430.8594107665879 961.3184678383801],[1225.5137939453125 864.0577392578125 1314.8363037109375 904.4779052734375],0.6392384171485901,MI51OSU,0.03916104087867834
63,5.0,[1104.5174723478326 645.6259654110137 1431.8550023345415 975.6426414405411],[1222.9766845703125 872.1817016601562 1317.3045654296875 917.2879028320312],0.6512897610664368,MW51YSU,0.07885183248595624
64,3.0,[315.7885419759657 790.7746599860362 683.8104737524496 1075.1135821768262],[416.8303527832031 1013.4450073242188 553.6318359375 1068.46630859375],0.6628750562667847,MA13HRI,0.18355991305947253
65,3.0,[313.3832732481304 792.8216072727221 682.2407560027649 1074.7860156568597],[419.3524475097656 1015.04248046875 556.7811279296875 1069.8375244140625],0.6330840587615967,MA13NAI,0.2458564130080709
68,5.0,[1108.9161681371802 656.525268391285 1438.5952760364257 984.8882601159298],[1226.30126953125 882.7225341796875 1318.3787841796875 924.4698486328125],0.6087374687194824,CO51WSU,0.05890917544666782
72,5.0,[1107.5373199910068 659.7760017169904 1438.589257612442 993.7062732472203],[1228.9974365234375 891.1041870117188 1321.14111328125 931.8444213867188],0.6597480177879333,XL51TSU,0.04592848498218625
73,5.0,[1107.1669429348494 660.5594335418127 1438.0377209901244 995.1158634434526],[1229.1314697265625 891.290771484375 1321.3404541015625 931.95849609375],0.6554369330406189,NL51YSU,0.22024489681520376
101,6.0,[555.4592539900625 587.6195802870221 851.7872261464825 824.5897601283483],[663.1901245117188 727.8165893554688 742.82763671875 772.6409912109375],0.2872300148010254,CR15OGJ,0.2729298539738115
108,6.0,[553.7837051992526 592.0945335895773 853.1225442361276 834.8188642257857],[653.385009765625 738.4915161132812 745.4960327148438 782.4560546875],0.2782554626464844,CI15OGJ,0.22419596563013283
109,6.0,[553.3464278630533 592.1880427122047 853.7429355467721 835.5850270805464],[653.3870239257812 738.4927978515625 745.4950561523438 782.4547729492188],0.2782493531703949,CI15OGJ,0.22419596563013283
111,5.0,[1118.9862005060338 718.8914509094814 1480.780952908434 1068.3213396711494],[1246.2626953125 965.9351806640625 1346.41845703125 1011.1254272460938],0.6746886968612671,CU51VSU,0.06097618813895856
112,5.0,[1117.524541966065 720.8628643712652 1479.791935624411 1070.1252442126568],[1246.46337890625 967.9692993164062 1347.7613525390625 1011.8204956054688],0.6651377081871033,MI51YSU,0.09558387910940754
116,5.0,[1117.7387609227858 725.9141943849958 1477.0279755880856 1073.1689749416048],[1246.15869140625 975.3218994140625 1348.716064453125 1020.03369140625],0.6594718098640442,MJ51FSU,0.3462536257499578
118,5.0,[1121.6010393968174 728.0590782346493 1479.3812335275782 1073.1936418405658],[1249.08740234375 980.70703125 1353.2916259765625 1026.9627685546875],0.7019664645195007,NT51VSU,0.08477058600743918
118,6.0,[544.0268650460465 603.2819293664152 857.2713903196847 846.0092437232715],[649.150634765625 749.8759155273438 736.2960205078125 789.8883056640625],0.35424306988716125,GR15OGJ,0.1836298363575365
126,6.0,[539.2153775526649 613.4314292389007 847.0198243421653 856.1185614884404],[650.4423217773438 760.9134521484375 738.1692504882812 801.7446899414062],0.37844470143318176,IG15OGJ,0.41310975534892985
127,6.0,[539.5720300244285 614.427552572744 846.805860675165 856.6165287976986],[648.2921752929688 756.5467529296875 731.383056640625 800.7813720703125],0.36803126335144043,IG15OCJ,0.23749210286246383
130,5.0,[1127.796807712959 749.4154005501167 1482.1685546712629 1074.0154574142828],[1255.06005859375 1003.7758178710938 1362.7716064453125 1052.4326171875],0.7205759882926941,WI51VSV,0.0658129501577279
131,6.0,[538.7162694079371 618.3747275182271 845.4758896621271 860.3481295884827],[653.669189453125 769.878173828125 734.6690063476562 806.9301147460938],0.312898188829422,CX15OGJ,0.09331180530120117
133,6.0,[538.0417709704891 620.1974257855984 845.9323437490054 864.2903116220812],[641.7857666015625 769.0021362304688 734.6087036132812 810.6677856445312],0.2505481243133545,GX15OCJ,0.10002517394261622
136,6.0,[535.3331719554625 623.0823182747856 845.5630612173833 870.4104402033054],[639.4641723632812 772.7188110351562 738.453369140625 816.7326049804688],0.32893577218055725,GF15OGJ,0.06589256669578282
137,6.0,[536.3499835196486 624.7058779172418 847.1051480727461 873.4922727102922],[635.6351318359375 772.141845703125 738.104248046875 817.9381713867188],0.252151757478714,GX15OGJ,0.30937305373817303
138,6.0,[535.6417617911827 625.498216907219 846.5255661215278 874.9496315489588],[640.2301025390625 773.5208129882812 731.1182250976562 817.0068969726562],0.4392324984073639,GF15OGJ,0.35938879475879204
139,6.0,[535.3934437502394 625.6411193603399 846.3475679015967 875.5754096046278],[640.230712890625 773.520263671875 731.1312255859375 817.0111083984375],0.43926557898521423,GF15OGJ,0.35938879475879204
140,6.0,[533.4844654065839 627.3266085754842 843.9708910307324 877.4056407745484],[637.9398193359375 775.7431640625 735.279052734375 821.325439453125],0.36759406328201294,GX15OGJ,0.12907919386169328
141,6.0,[531.4747530768373 627.6151986154648 842.1060876386043 878.4258360161912],[638.8209838867188 777.470947265625 733.4484252929688 823.7603759765625],0.4468444883823395,GX15OCJ,0.3659320621179819
144,6.0,[527.4497818242675 631.0900133740415 841.496292180395 882.7262376628985],[642.345947265625 788.1474609375 732.7315673828125 828.246826171875],0.4401606321334839,GX15OGJ,0.23158941575138653
145,6.0,[526.7351679117992 631.1486955456035 841.8237015641378 883.1169341698178],[642.4059448242188 788.18798828125 732.70556640625 828.195068359375],0.44029682874679565,GX15OGJ,0.23158941575138653
147,6.0,[526.448997985975 633.9612449648502 841.7023659134486 885.1625383343595],[634.1779174804688 782.04150390625 721.5166625976562 827.4600830078125],0.26004117727279663,GJ15OGJ,0.21287942988553263
151,6.0,[525.7862950180247 639.1163605538749 839.9626787719048 889.5661433576605],[636.1585693359375 796.9676513671875 725.1007690429688 834.9977416992188],0.5185335278511047,CJ15OGJ,0.09422576400165789
152,6.0,[525.3249038363383 639.9364502607815 842.7024971532562 891.4562776461127],[631.2328491210938 797.2646484375 722.6619873046875 839.2679443359375],0.5322017073631287,GX15OCJ,0.4753938483272684
154,6.0,[522.3055478083445 641.4745982191555 843.425914402831 896.3497859638621],[636.303955078125 796.9822998046875 728.6618041992188 841.1942138671875],0.5633835792541504,GI15OGJ,0.2976739056293122
156,6.0,[518.8070870463418 643.5716482020343 842.3643897091013 901.1090640410073],[631.4616088867188 803.7005004882812 717.4618530273438 847.3674926757812],0.46975433826446533,GX15OGJ,0.09846359750203114
158,6.0,[517.6514828059421 645.1756331855058 843.1904847367241 903.8820372488613],[633.2098388671875 804.2847290039062 728.169189453125 847.9837646484375],0.42078685760498047,GJ15OGJ,0.1442945266469607
160,6.0,[514.4529958706868 648.4502250362049 842.5717048477787 906.9024728196731],[629.6296997070312 813.917724609375 716.3648071289062 852.8060302734375],0.5423712134361267,GX15OCJ,0.4113204893580952
161,6.0,[513.0312941324653 650.2389736096235 841.4995062435739 908.8267321778957],[623.3626098632812 812.5357055664062 711.2489624023438 851.9273681640625],0.4714478850364685,GI15OCJ,0.31410576961867986
165,6.0,[509.68793458295295 656.5777464310988 839.9497655343584 916.2647116404944],[623.1447143554688 816.5789794921875 721.4425048828125 858.5709228515625],0.5616167187690735,GI15OCJ,0.12138831824597038
166,6.0,[509.2726721943293 658.0191849100495 840.3710984165073 919.0636551470391],[619.0057983398438 819.5958251953125 714.7020874023438 858.942626953125],0.514580488204956,CX15OCJ,0.6550150191417007
172,6.0,[501.4648156825194 664.6403135249097 841.9125807621522 929.5011090990022],[616.7433471679688 825.8662719726562 716.6868896484375 872.1044311523438],0.4687155485153198,GY15OCJ,0.5744182857107911
174,6.0,[499.0114312849697 666.0693787281132 842.0715730613666 933.088687856173],[623.254638671875 835.9769897460938 717.466796875 876.6710815429688],0.5216639637947083,GI15OGJ,0.24465103527978146
175,6.0,[497.89903442790205 666.1634722583183 842.3506032564082 933.9157179953993],[623.2349243164062 835.9777221679688 717.4961547851562 876.6822509765625],0.5231398344039917,GI15OGJ,0.24465103527978146
176,6.0,[497.4636568026924 666.7220487801198 841.9826577344147 935.7235351961701],[621.9501953125 836.7485961914062 718.7100830078125 877.8715209960938],0.539769172668457,GX15OCJ,0.3418051487990746
178,6.0,[496.8934742378044 670.0498958597701 842.244077846057 939.9007986820087],[617.6202392578125 841.4634399414062 714.8644409179688 883.117919921875],0.5741068124771118,GX15OCJ,0.3271533303798486
179,6.0,[497.9586296764465 671.0299074718596 842.3981646570571 940.8156776027361],[611.0733642578125 843.4610595703125 714.8187255859375 883.6376953125],0.5963994860649109,GX15OCJ,0.640712197013848
180,6.0,[496.8116286274766 672.8548366807668 842.4813833663737 943.2263859131706],[613.1260986328125 843.419677734375 711.8373413085938 885.0316772460938],0.5835392475128174,GX15OCJ,0.5198595178130195
181,6.0,[496.61265911956934 673.2325869011131 843.0129668875629 943.689942999579],[613.450439453125 844.191650390625 711.5938110351562 885.262939453125],0.5928348898887634,GX15OCJ,0.6069970855508805
185,6.0,[493.15078293702123 681.8699128973662 843.3749782964046 951.5581647877414],[616.9188232421875 851.757568359375 714.8566284179688 897.2662353515625],0.557485818862915,GX15OGJ,0.32360318743403405
191,6.0,[486.4820098140572 687.0045605778173 841.694979640823 961.811995317842],[605.0352783203125 859.8964233398438 712.193359375 905.0643310546875],0.5699194669723511,GX15OCJ,0.5083377744186944
197,6.0,[483.2671291653538 697.5508340225784 841.1647795683508 976.0935220645],[608.291015625 870.9358520507812 707.6407470703125 914.0787963867188],0.6101590394973755,GX15OGJ,0.17081766452320454
201,6.0,[478.13694357624377 704.365980164205 836.9272641772584 982.9572525073775],[600.1331787109375 874.4785766601562 698.2044067382812 919.2484130859375],0.5451139211654663,GX15CCJ,0.36131765448112274
204,6.0,[474.03456914116987 709.5959181567971 836.5336849304085 990.836892552149],[604.1052856445312 886.6887817382812 701.6133422851562 928.4697875976562],0.6058282256126404,GX15CGJ,0.4330416395267932
205,6.0,[473.25454751482573 710.1382772454862 836.5467172343198 992.0404386966758],[604.0338134765625 886.6723022460938 701.6417846679688 928.4855346679688],0.6051755547523499,GX15CGJ,0.4330416395267932
207,1.0,[1028.2123209968622 551.7449720226331 1281.8249261930205 774.4431422893264],[1115.0980224609375 687.5637817382812 1211.2059326171875 732.0404663085938],0.3047679662704468,AP05JEO,0.23124100400394743
208,6.0,[474.81822416645764 715.7433522481155 835.8887250074645 999.7706984792252],[598.71240234375 892.6858520507812 694.77099609375 936.6018676757812],0.6130037903785706,GX15OGJ,0.20050432991378764
208,1.0,[1027.197870107579 553.1515765103958 1281.0065939719761 775.5223310922541],[1114.985595703125 686.5637817382812 1214.1280517578125 731.4843139648438],0.3750859498977661,AP05JEO,0.582270884751958
209,6.0,[476.0256876301364 717.3377681677907 836.8172096854166 1001.2778928946609],[596.517333984375 893.6605224609375 689.5296020507812 936.2149658203125],0.6221632957458496,GX15CCJ,0.3955858714255618
210,6.0,[475.3235870824053 719.0152509230095 836.388693486572 1002.8266658556195],[592.367431640625 895.3694458007812 688.845458984375 939.5223999023438],0.5926601886749268,GX15OCJ,0.5816440758075075
211,6.0,[475.0679473057245 720.1606815103081 836.1716236232922 1003.4975304315154],[593.944580078125 895.8945922851562 688.5776977539062 939.3220825195312],0.5925770401954651,GX15OGJ,0.34950512834480063
212,6.0,[474.97030277557315 722.2783676244591 836.7156863781609 1005.7574548785254],[593.73779296875 896.4420776367188 701.4451904296875 945.4678344726562],0.6158360242843628,GY15OCJ,0.295981938816289
215,1.0,[1026.5686442007282 558.0207422099917 1281.547437901625 781.1166451944827],[1116.203369140625 693.6889038085938 1214.468017578125 739.0611572265625],0.30742642283439636,JP05JEO,0.28418482149144003
216,6.0,[467.5271188891178 730.0735395194282 832.5298291194164 1017.1519728556538],[597.7046508789062 908.4391479492188 697.3211669921875 951.2426147460938],0.5710961818695068,GX15OCJ,0.691346072561869
217,6.0,[468.04596918755817 730.7442103614405 833.1418833511235 1018.8942059813346],[592.2002563476562 907.9381713867188 695.53125 951.4605102539062],0.5884668827056885,GX15OGJ,0.2717219497393509
218,6.0,[467.53509731236215 731.7788465464712 832.3103315566337 1020.9390433813801],[585.6370239257812 909.6099853515625 696.2631225585938 956.282470703125],0.5980182886123657,GX15OGJ,0.29446177336509266
219,6.0,[466.6108069270052 733.342650052095 831.6603678391726 1023.374661648681],[586.9239501953125 913.1239013671875 691.8651733398438 958.236328125],0.6132469177246094,GX15OGJ,0.26649704833656446
219,1.0,[1027.3910912376903 561.0629845310895 1283.2496891960288 785.0893642098687],[1123.6490478515625 701.779541015625 1215.7926025390625 740.6900024414062],0.3258383572101593,AP05JID,0.26151009890844373
220,6.0,[464.6692947171333 735.1609524022872 830.237252913064 1026.1595323661547],[588.5235595703125 915.8236083984375 692.7127685546875 963.217529296875],0.6183701753616333,GX15OCJ,0.3868836984527011
220,1.0,[1027.5799286718072 561.9545382733519 1283.1405954785776 786.513793961151],[1109.19189453125 700.78125 1211.251220703125 742.7042236328125],0.3741324543952942,AP05JEO,0.18427680357938153
221,1.0,[1028.0145898021958 564.4589429282971 1284.0546338833808 788.7300827440342],[1107.727294921875 700.58056640625 1215.795654296875 743.5032348632812],0.29331186413764954,AP05JEO,0.18698073670761048
222,6.0,[463.25639994235405 738.2927084394637 829.3400994168811 1030.2416945817552],[589.2973022460938 919.2163696289062 690.0421752929688 966.4407348632812],0.6153801679611206,GX15OCJ,0.4562954836088071
223,6.0,[462.72543633107273 738.9222640150736 829.1320418757253 1031.0298843540015],[589.1920166015625 919.1057739257812 690.0809326171875 966.2960815429688],0.6175769567489624,GX15OGJ,0.39492086224234363
225,6.0,[460.6962309398057 743.1462330755371 828.8029733387691 1035.5507917445038],[585.7957763671875 923.0465698242188 690.5685424804688 970.3167114257812],0.5159183740615845,GY15OCJ,0.3403079572424682
226,6.0,[458.9608462856346 745.3129893070351 827.9739532131199 1038.4916092983826],[583.1194458007812 930.7293701171875 692.2977905273438 972.0989379882812],0.472191721200943,GX15OGJ,0.3022766536156794
227,6.0,[455.3260954477922 747.5824240562496 825.6140626823432 1041.4653790536372],[587.27294921875 932.7885131835938 682.8355102539062 974.0648803710938],0.5518040060997009,GY15OCJ,0.6095017335333441
228,6.0,[452.9817800992843 749.040836777508 825.5407454362262 1044.3017125201777],[579.6564331054688 933.0955810546875 690.5374145507812 981.0648193359375],0.6004550457000732,GX15OGJ,0.7370116826674671
229,6.0,[451.723378420123 749.2948530198286 825.9263797960011 1045.550600794525],[579.618896484375 933.0955810546875 690.5540771484375 981.0311279296875],0.5996696949005127,GX15OGJ,0.5844859615427239
230,6.0,[451.0383675269742 750.8976698309266 827.4099295981238 1047.793379330342],[578.818359375 935.5563354492188 692.2249145507812 981.5839233398438],0.5576665997505188,GX15OCJ,0.2988477478077734
230,1.0,[1025.1722792920903 569.4975367585146 1289.4267041370356 796.1299235352133],[1110.546875 713.4637451171875 1213.6363525390625 756.56640625],0.40604645013809204,AF05JEQ,0.3588744194195017
231,6.0,[450.07348794378083 753.0534628853128 827.4292179805578 1049.812115099333],[581.9461669921875 937.4644775390625 691.0442504882812 985.1802978515625],0.5222429037094116,GY15OGJ,0.34442482609704617
232,6.0,[449.31524191236747 754.8644772919342 827.3777172464489 1051.082224574321],[577.3212890625 941.590576171875 690.5968017578125 987.2266845703125],0.6272345185279846,GX15OGJ,0.3507752009828798
236,8.0,[573.6033492986506 537.4542872588008 810.2731688891312 742.1328082634961],[650.5836181640625 652.6298217773438 730.45556640625 693.4962768554688],0.29397547245025635,RH05ZIK,0.04489140137952457
237,6.0,[446.5949949544133 762.6969048265968 826.4410328690119 1056.7681168071654],[577.2310791015625 950.1736450195312 685.8358764648438 1001.1278686523438],0.5509438514709473,GX15OGJ,0.2053757994386785
238,6.0,[445.97194242893016 764.7268933760502 826.6239028320215 1059.013736351246],[574.60009765625 953.7196655273438 685.9776611328125 999.9728393554688],0.6014263033866882,GY15OGJ,0.29268441947888746
239,6.0,[445.4750610183771 767.0169012292884 826.6645362252359 1060.3575668966776],[573.888427734375 955.2261352539062 686.3585815429688 1003.4411010742188],0.6126182079315186,CX15OGJ,0.17313540184475165
240,6.0,[442.9338862817991 769.0647520479835 825.617691816937 1063.1462831796368],[570.5938110351562 958.2886962890625 688.431884765625 1005.7598876953125],0.6318014860153198,CX15OGJ,0.3674314888172778
240,1.0,[1025.821916857614 580.5331476327312 1293.688564160155 810.1741036859896],[1119.1103515625 720.5621337890625 1217.6163330078125 768.11572265625],0.4193173050880432,AF05JEO,0.4841285420043835
241,6.0,[441.8303664116613 769.7473957873126 825.5072299590624 1064.3148296442077],[570.822021484375 957.9384155273438 688.4220581054688 1005.3125610351562],0.6221544742584229,CX15OGJ,0.33938163939322996
241,1.0,[1025.3782763077265 581.0015262473997 1293.923795090845 810.6137517160881],[1120.3607177734375 720.7398071289062 1218.148681640625 767.9491577148438],0.3719591200351715,AF05JEO,0.2773413224703115
243,6.0,[437.54545245386146 773.4849191235003 824.4455591212824 1069.4878706994618],[569.598876953125 963.0863037109375 688.5051879882812 1011.1736450195312],0.6162327527999878,CX15OGJ,0.33436493727405164
243,8.0,[568.7938986956887 541.4646338173958 809.671660724574 749.5462881453194],[645.6172485351562 657.416259765625 723.6432495117188 703.0953979492188],0.25619474053382874,IH05ZIK,0.136042448673344
244,6.0,[436.1418714933676 775.3568810791211 824.1264870504327 1071.7158899999727],[569.9131469726562 967.02978515625 680.8771362304688 1011.262939453125],0.5711380839347839,CR15OGJ,0.38159782143220594
244,1.0,[1025.2819325170774 583.3463990912924 1295.2742609704499 816.161005625446],[1110.434326171875 725.0224609375 1214.2183837890625 768.3243408203125],0.451020747423172,AF05JEO,0.2983660815825508
245,6.0,[434.21882573031644 777.4068542004457 823.0645766548848 1073.48790734401],[567.180419921875 968.5447998046875 681.7778930664062 1018.1986083984375],0.5869331359863281,GX15OGJ,0.47074676924760017
247,6.0,[433.3308092472507 780.0535367379885 823.4330044880687 1074.9183662655194],[563.0779418945312 969.1331176757812 668.2355346679688 1014.7282104492188],0.5133413672447205,CX15OGJ,0.17778461967103956
248,6.0,[431.40327095188735 781.339933544827 822.2887794775343 1075.427894909351],[568.4962768554688 974.3347778320312 676.3790893554688 1018.6466674804688],0.5161885619163513,GX15OGJ,0.27937410229399406
248,1.0,[1019.9032193621333 588.1177020381755 1294.7752279883607 820.3851560597212],[1115.6785888671875 733.0189819335938 1209.1953125 775.2954711914062],0.30686715245246887,AP05JEO,0.21237484298306142
251,6.0,[428.9689737696126 787.4687015766073 822.5407167005421 1076.2431598867556],[566.1153564453125 981.5018920898438 675.345458984375 1030.3287353515625],0.6209198832511902,GX15DGJ,0.28439412807315967
251,1.0,[1021.7716325674247 592.2851475161453 1297.5325915898193 823.7287659091189],[1121.2655029296875 740.0687255859375 1214.3577880859375 778.4853515625],0.25367531180381775,IP05JEO,0.192310073205329
252,1.0,[1022.2104674901966 593.346340929061 1297.9768962539993 825.2286032843197],[1112.914794921875 737.5155029296875 1213.1046142578125 778.5809326171875],0.3608771860599518,AP05JEO,0.08953507628843972
